service,port
rap-service,1530
tacacs,49
ssslic-mgr,1203
anthony-data,1206
de-server,1256
shockwave2,1257
intv,1585
n2nremote,1685
rrilwm,1695
gamegen1,1738
hp-hcip-gwy,1803
ardusuni,1834
idmaps,1884
global-wlink,1909
noadmin,1921
weblogin,2054
iop,2055
newwavesearch,2058
teleniumdaemon,2060
netmount,2061
tpcsrvr,2078
gtp-control,2123
cs-live,2129
ias-reg,2140
touchnetplus,2158
easy-soft-mux,2168
ipcore,2215
opentable,2368
vsamredirector,2387
orbiter,2398
dirgis,2496
call-sig-trans,2517
ncr_ccl,2528
fc-faultnotify,2819
vrts-at-port,2821
pctrader,3048
amt-cnf-prot,3054
rapidmq-reg,3094
whisker,3233
mdap-port,3235
creativeserver,3364
asam,3451
pscupd,3453
ecomm,3477
seclayer-tcp,3495
teredo,3544
cs-services,3631
prnrequest,3910
ccp,3947
secure-cfg-svr,3978
acp-proto,4046
wafs,4049
ice-location,4061
vrml-multi-use,4232
nacnl,4361
cp-spxdpy,4378
ds-admin,4404
ehs-ssl,4536
ipt-anri-anri,4593
conspiracy,4692
qcp,5082
scte30,5168
mdnsresponder,5354
sceanics,5435
symantec-sfdb,5629
x11,6033
nexgen,6627
jmact3,6961
talon-engine,7012
oma-rlp-s,7274
swx,7303
swx,7354
ampify,8040
wap-vcard-s,9206
robix,9599
ccnx,9695
board-voip,9750
h323callsigalt,11720
entextlow,12004
warehouse-sss,12321
hde-lcesrvr-2,14937
netsc-dev,155
dls,197
kryptolan,398
iclpv-pm,1392
dbstar,1415
informatik-lm,1428
ssh-mgmt,17235
zigbee-ip,17755
zigbee-ips,17756
gv-pf,18262
ique,18769
fxuptp,19539
nburn_id,20034
mountd,20048
WibuKey,22347
inovaport1,23000
novar-dbase,23400
med-ovw,24004
med-ci,24005
flashfiler,24677
tcc-http,24680
vocaltec-hos,25793
niobserver,25901
apm-link,32483
dnsix,90
irc,6667
gss-http,488
netlabs-lm,1406
ricardo-lm,6148
imtc-mcs,1503
bittorrent-tracker,6881
flexlm0,27000
vlsi-lm,1500
ftp-proxy,8021
vettcp,78
smip-agent,164
link,245
ss7ns,477
eudora-set,592
msp,18
unitary,126
cloanto-net-1,356
legent-2,374
opc-job-track,424
spsc,478
telesis-licman,1380
proshare2,1460
EtherNetIP-1,2222
westec-connect,5566
radan-http,8088
ospf-lite,8899
sas-3,1501
admeng,5102
X11:5,6005
jetdirect,9101
sd,9876
sometimes-rpc9,32773
sometimes-rpc11,32774
rje,5
covia,64
mpp,218
dsp3270,246
vslmp,312
pip,321
clearcase,371
ulistserv,372
cichlid,1377
ampr-inter,1536
cmip-man,163
activesync,5679
iso-tp0,146
hp-collector,381
xlog,482
micom-pfs,490
ohimsrv,506
tns-cml,590
rrp,648
gandalf-lm,1421
csdm,1468
ms-sna-base,1478
insitu-conf,1490
netview-aix-6,1666
padl2sim,5236
cisco-tna,131
ocbinder,183
bh611,354
photuris,468
utime,519
sometimes-rpc2,737
elan,1378
abbaccuray,1546
samba-swat,901
hdap,263
personal-link,281
hassle,375
dsETOS,378
nest-protocol,489
irc,529
banyan-rpc,567
decbsrv,579
cal,588
bwnfs,650
utcd,1506
mit-ml-dev,83
nppmp,3476
avt-profile-1,5004
vcom-tunnel,8001
us-srv,8083
wap-vcal-s,9207
mumps,188
entrusttime,309
apex-mesh,912
ms-sna-server,1477
prsvp,3455
omid,5428
